,symbol,price,change,eps,pe
0,SNCR,3.26,-0.19,-3.36,
0,ATLO,19.93,-1.27,1.792,11.121652
0,TZOO,5.6,0.03,0.35,16.0
0,NOC,328.06,-2.61,13.286,24.692156
0,CVGW,55.83,-2.17,1.771,31.524563
0,CAPR,7.27,0.27,-2.06,
0,FTI,8.27,-0.64,-12.731,
0,AAWW,31.95,-0.9,-11.35,
0,ZBH,116.25,-3.45,5.47,21.252287
0,FIS,129.29,-2.6,0.66,195.89392
0,UBFO,6.22,-0.44,0.81,7.6790123
0,PRU,59.54,-2.83,10.107,5.8909664
0,INFN,5.66,-0.505,-2.16,
0,ARAY,2.3,0.065,0.022,104.545456
0,REED,0.53,-0.017,-0.46,
0,ABC,86.38,-3.28,3.087,27.98186
0,CCRN,6.42,0.13,-1.611,
0,MA,268.74,-6.23,7.825,34.34377
0,LARK,21.7,-0.27,2.31,9.39394
0,FCCY,13.0,0.3,1.465,8.87372
0,NXST,66.6,-3.44,4.8,13.874999
0,NUVA,58.54,-2.34,1.23,47.593494
0,AMN,44.22,-2.76,2.4,18.425
0,AYI,82.34,-4.25,7.512,10.961128
0,ABG,65.73,-1.77,9.55,6.882723
0,PODD,194.89,-4.83,0.19,1025.7368
0,ANTM,269.57,-11.16,18.47,14.59502
0,HUSA,0.147,-0.0091,-0.042,
0,CME,173.65,-4.56,6.66,26.073574
0,BGFV,1.2,-0.17,0.4,3.0
0,LRN,22.97,0.26,0.553,41.53707
0,MDGL,82.48,-1.2,-5.453,
0,WNEB,5.59,-0.42,0.46,12.152174
0,CAAS,1.9,0.01,0.161,11.801242
0,SCOR,2.99,0.1,-5.331,
0,CCOI,82.14,-1.69,0.81,101.40741
0,AAP,116.59,-4.32,6.84,17.04532
0,JBLU,9.02,-0.72,1.91,4.722513
0,PSTI,8.41,-0.76,-2.172,
0,LMAT,26.37,-2.12,0.869,30.345224
0,HALO,23.17,0.515,-0.501,
0,IRBT,59.4,-1.56,1.565,37.955273
0,FVE,3.18,-0.1,-3.994,
0,WRK,30.84,-1.35,3.32,9.289157
0,MGEE,62.49,-2.17,2.506,24.936153
0,CUTR,13.09,-0.36,-0.88,
0,COP,39.14,-2.96,6.4,6.115625
0,X,7.51,-0.17,-6.299,
0,NRIM,23.15,-0.3,2.599,8.907272
0,NEM,60.99,1.51,3.812,15.9994755
0,NPO,43.88,-1.47,1.85,23.71892
0,WHG,21.64,-1.39,0.78,27.74359
0,XPO,64.33,-2.41,3.57,18.01961
0,JCP,0.2409,-0.0131,-0.84,
0,WTBA,18.25,-0.35,1.81,10.082873
0,XEC,23.49,-1.93,-1.33,
